Job Title,Salary Estimate,Job Description,Location,Company Name,Rating
Lead Data Engineer,$108K-$144K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_0,4.5
Data Engineer,$118K-$148K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_1,3.6
Data Engineer,$115K-$169K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_2,3.5
Senior Data Engineer,$103K-$173K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_3,3.8
Data Engineer,$112K-$141K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_4,4.2
Data Engineer,$128K-$156K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_5,4.0
Lead Data Engineer,$126K-$173K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_6,4.8
Data Engineer,$82K-$166K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_7,4.4
Data Engineer,$118K-$147K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_8,4.8
Senior Data Engineer,$88K-$155K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_9,3.8
Lead Data Engineer,$86K-$173K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_10,4.6
Lead Data Engineer,$93K-$146K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_11,4.4
Senior Data Engineer,$85K-$171K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_12,3.5
Senior Data Engineer,$105K-$173K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_13,4.0
Senior Data Engineer,$110K-$177K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_14,3.6
Lead Data Engineer,$119K-$150K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_15,3.9
Data Engineer,$103K-$155K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_16,3.9
Data Engineer,$120K-$158K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_17,3.7
Data Engineer,$86K-$138K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_18,3.8
Lead Data Engineer,$90K-$146K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_19,4.5
Lead Data Engineer,$84K-$171K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_20,4.3
Lead Data Engineer,$88K-$137K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_21,3.6
Lead Data Engineer,$102K-$153K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_22,4.4
Senior Data Engineer,$106K-$164K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_23,4.0
Lead Data Engineer,$93K-$132K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_24,4.4
Lead Data Engineer,$93K-$168K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_25,4.2
Lead Data Engineer,$105K-$171K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_26,3.8
Lead Data Engineer,$128K-$161K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_27,3.7
Lead Data Engineer,$124K-$144K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_28,3.8
Data Engineer,$111K-$136K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_29,4.4
Senior Data Engineer,$121K-$174K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_30,4.3
Senior Data Engineer,$107K-$157K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_31,4.6
Senior Data Engineer,$107K-$154K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_32,4.7
Data Engineer,$106K-$142K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_33,3.9
Senior Data Engineer,$87K-$156K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_34,4.1
Data Engineer,$121K-$173K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_35,3.7
Data Engineer,$128K-$178K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_36,4.8
Senior Data Engineer,$118K-$131K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_37,3.9
Data Engineer,$96K-$178K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_38,4.2
Senior Data Engineer,$102K-$166K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_39,4.3
Senior Data Engineer,$81K-$173K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_40,4.8
Lead Data Engineer,$83K-$140K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_41,3.8
Senior Data Engineer,$103K-$134K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_42,4.3
Lead Data Engineer,$127K-$145K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_43,3.7
Lead Data Engineer,$85K-$145K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_44,4.6
Lead Data Engineer,$115K-$148K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_45,4.2
Lead Data Engineer,$99K-$161K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_46,3.7
Data Engineer,$119K-$168K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_47,4.6
Lead Data Engineer,$107K-$154K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_48,4.7
Senior Data Engineer,$121K-$164K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_49,4.4
Senior Data Engineer,$127K-$178K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_50,4.8
Senior Data Engineer,$91K-$134K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_51,4.6
Lead Data Engineer,$88K-$170K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_52,4.4
Lead Data Engineer,$99K-$153K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_53,4.5
Lead Data Engineer,$128K-$137K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_54,4.4
Senior Data Engineer,$114K-$177K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_55,4.7
Data Engineer,$108K-$147K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_56,4.2
Senior Data Engineer,$114K-$145K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_57,3.8
Data Engineer,$83K-$162K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_58,3.9
Lead Data Engineer,$82K-$146K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_59,4.2
Lead Data Engineer,$101K-$151K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_60,4.3
Senior Data Engineer,$124K-$137K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_61,4.1
Data Engineer,$109K-$162K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_62,4.1
Data Engineer,$127K-$148K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_63,4.5
Data Engineer,$123K-$157K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_64,4.7
Data Engineer,$85K-$164K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_65,4.7
Data Engineer,$128K-$175K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_66,4.2
Data Engineer,$100K-$161K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_67,3.8
Lead Data Engineer,$97K-$154K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_68,4.7
Senior Data Engineer,$82K-$169K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_69,3.6
Lead Data Engineer,$101K-$152K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_70,3.8
Senior Data Engineer,$81K-$155K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_71,4.6
Data Engineer,$122K-$177K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_72,3.9
Lead Data Engineer,$105K-$164K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_73,4.6
Data Engineer,$86K-$165K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_74,3.8
Senior Data Engineer,$95K-$143K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_75,3.9
Senior Data Engineer,$81K-$161K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_76,4.4
Lead Data Engineer,$104K-$151K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_77,4.6
Data Engineer,$121K-$135K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_78,4.0
Data Engineer,$112K-$137K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_79,3.9
Data Engineer,$118K-$133K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_80,3.6
Senior Data Engineer,$126K-$164K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_81,3.7
Data Engineer,$129K-$171K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_82,3.6
Lead Data Engineer,$98K-$157K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_83,3.6
Data Engineer,$105K-$152K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_84,4.4
Data Engineer,$80K-$130K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_85,3.8
Senior Data Engineer,$127K-$154K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_86,3.9
Data Engineer,$118K-$134K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_87,4.4
Lead Data Engineer,$91K-$155K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_88,4.5
Data Engineer,$108K-$143K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_89,3.6
Senior Data Engineer,$125K-$134K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_90,4.5
Data Engineer,$118K-$165K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_91,4.1
Data Engineer,$102K-$139K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_92,4.3
Senior Data Engineer,$110K-$139K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_93,4.7
Data Engineer,$84K-$174K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_94,4.7
Lead Data Engineer,$99K-$153K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_95,4.2
Data Engineer,$112K-$172K,Python SQL Spark AWS Kafka Airflow ETL experience required,"San Francisco, CA",Company_96,4.3
Data Engineer,$112K-$169K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_97,3.8
Data Engineer,$92K-$141K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_98,4.0
Data Engineer,$129K-$164K,Python SQL Spark AWS Kafka Airflow ETL experience required,"Seattle, WA",Company_99,3.6
Data Engineer,$105K-$139K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_100,3.9
Lead Data Engineer,$120K-$136K,Python SQL Spark AWS Kafka Airflow ETL experience required,"New York, NY",Company_101,4.4
